"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(4, 141)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 141)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 141)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 141)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 141)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 142)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 142)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 142)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 143)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 143)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 143)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 144)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 144)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 144)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 145)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 145)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 145)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 146)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 146)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 146)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 147)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 147)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 147)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 148)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 148)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 148)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 149)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 149)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 149)",2021,6,BUKIT PANJANG,124,151,Apartment,1988,3642
"(4, 149)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(5, 149)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(6, 149)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(7, 149)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(8, 149)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(1, 150)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(2, 150)",2021,4,CHOA CHU KANG,271,152,Apartment,1993,3684
"(3, 150)",2021,6,BUKIT PANJANG,124,151,Apartment,1988,3642
"(4, 150)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(5, 150)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(6, 150)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(7, 150)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
"(8, 150)",2021,7,CHOA CHU KANG,523,152,Apartment,1995,3520
